"","Year","rep1","rep2","rep3","rep4","rep5","rep6","rep7","rep8","rep9","rep10","rep11","rep12","rep13","rep14","rep15","rep16","rep17","rep18","rep19","rep20","rep21","rep22","rep23","rep24","rep25","rep26","rep27","rep28","rep29","rep30","rep31","rep32","rep33","rep34","rep35","rep36","rep37","rep38","rep39","rep40","rep41","rep42","rep43","rep44","rep45","rep46","rep47","rep48","rep49","rep50","rep51","rep52","rep53","rep54","rep55","rep56","rep57","rep58","rep59","rep60","rep61","rep62","rep63","rep64","rep65","rep66","rep67","rep68","rep69","rep70","rep71","rep72","rep73","rep74","rep75","rep76","rep77","rep78","rep79","rep80","rep81","rep82","rep83","rep84","rep85","rep86","rep87","rep88","rep89","rep90","rep91","rep92","rep93","rep94","rep95","rep96","rep97","rep98","rep99","rep100"
"1","1991-1996",0.004088953088374,0.00431066401173249,0.00407994707217038,0.004312173354962,0.00409798786149332,0.00413666081542089,0.00440431506724313,0.00439996540316918,0.00416064808861413,0.00431458060419681,0.00416271021517189,0.0040021085894817,0.00414220725417415,0.00458250017244139,0.00399596140573135,0.00377607831470035,0.00398307687217373,0.00408575740275642,0.00404982116631409,0.00409931423058972,0.0042858646079818,0.0042894722012856,0.00412366920929723,0.00405675971166075,0.00396105205204724,0.00416707431563486,0.00446422588895466,0.00405505660326338,0.00390568364816692,0.00388419893744002,0.00400887489666772,0.00426448608807964,0.00405842810049207,0.00404463464362171,0.00424761212540795,0.0039844658121229,0.00407399912447004,0.00419629252256946,0.00417207484824797,0.00417330236755383,0.00425835590791203,0.00398776937076165,0.00404210254973794,0.00415767362955827,0.00424847720474131,0.00414456410861231,0.00428891996760451,0.00411001258025766,0.00417616400484572,0.00451514703497005,0.00420639595892364,0.00413654274368105,0.00405588426179257,0.004305593300127,0.00410788536951216,0.00391435401874259,0.00429023046214744,0.00415075932758849,0.00426699109449997,0.00453520520573496,0.00430671870909161,0.00412747442218619,0.00423133886591095,0.00426299173975335,0.00460655348922948,0.00426690793904008,0.00413961404394269,0.0046650324347318,0.00395541183447196,0.00401564819750074,0.00403601422642539,0.00395627320027929,0.00399712134937272,0.00415008278056692,0.00427815570478436,0.00430626324003584,0.00421310302497485,0.00427935947704483,0.00401063513663302,0.0041383141351455,0.00404973032071882,0.0044256647281983,0.00396616575605033,0.00425543791313292,0.00422491964897887,0.00466242680523596,0.00432251183700039,0.0045501948818779,0.00414981767314803,0.0043673741935128,0.00402269854445906,0.00417174261502137,0.00463483455284882,0.0040243440285514,0.00491450134753518,0.00439847608388758,0.00390993594873687,0.00404177279328844,0.00450632612418091,0.00406880455058602
"2","1996-2006",0.00475756738737167,0.00495301289469701,0.00473091112208237,0.00476588004831805,0.00471003998445884,0.00482607492952175,0.00482627514405194,0.004916796535447,0.00496258682665159,0.00479282467253012,0.00483416429623334,0.00478285581110862,0.00511602305656976,0.00491838540797375,0.00470068147097606,0.00524603280288454,0.00520268049273518,0.00477810738656384,0.00464614023296044,0.00484487950425837,0.00467768219405411,0.00479944959062677,0.0049251346485253,0.00495508507282569,0.00491569745578802,0.0049194094131184,0.00450743550070054,0.00472349105446996,0.00476553733864146,0.00471774895978426,0.00465919723952503,0.00509105956846906,0.00469094117021404,0.00487447911831296,0.00486117651193581,0.0046830588389903,0.00462890173974174,0.00484650638590911,0.00474029451051384,0.00493247695674388,0.00495138499918412,0.0046452177352656,0.0048587504457704,0.00506850285812578,0.00472585059313884,0.00481052383917497,0.00536373612870839,0.00479815142241064,0.00492446748363208,0.00487857710621472,0.00469958141832526,0.00482383660381057,0.00526136328869869,0.00465655016159394,0.00521467801416363,0.00521303747605196,0.00489177290638158,0.00458974029423437,0.00496201870551297,0.00464925643938005,0.00468993326954992,0.00463918382865253,0.00479333008060369,0.00515128963061834,0.00523000423993092,0.00475007117395607,0.00468009632410942,0.00566966806966862,0.00483011146273681,0.004849408742965,0.00474310138926433,0.00479108341476965,0.00483073507263916,0.00480404248870935,0.00504899440790331,0.00459403891675774,0.0050007240444518,0.00492984271099861,0.00505354521990751,0.00475429690086388,0.00485654162590146,0.00481056811823524,0.00467550517631366,0.0049331845261735,0.00481898297065776,0.00471925134354684,0.00481005973343882,0.00475149406684452,0.00449210351222543,0.00510552905826907,0.00471329167133949,0.00495277960160263,0.00494274825458921,0.00500114492526544,0.00483902715337539,0.00493041995463786,0.00467931305623923,0.00457761212185594,0.00486038499454769,0.00481852886461559
"3","2006-2017",0.00571890283588509,0.00571764423534521,0.00551261144842063,0.00591999624335457,0.00533908898253538,0.00533833092059735,0.0056096183827075,0.00535345016352639,0.00590551720133743,0.00568334356465639,0.00602322023068275,0.00530799858412788,0.00585862427230055,0.00597555826270479,0.0055520500087396,0.00553090585702111,0.00582132388700454,0.00563355807825698,0.00549452731483476,0.00575091882573866,0.00541496661708155,0.00528063583209634,0.00522220696074057,0.00537091441783651,0.00566992635650099,0.00558712104138395,0.00536756074524755,0.00540358215614782,0.00535493633901352,0.00542459848374589,0.00593378990436497,0.00548553900901822,0.00553187221887227,0.00544307238677462,0.00551852613202564,0.00540830633797225,0.00571133310143113,0.00596737448169309,0.00575058016933435,0.00595839769242697,0.00554606415852615,0.00548837389510868,0.00554237248034806,0.00563930178192633,0.00571415799255782,0.00561160248108501,0.00558825722418056,0.00519625025501269,0.00562069098615008,0.00596385869107687,0.00558536281367577,0.0053989156309358,0.00569774712739112,0.00532885227303164,0.00541601934310534,0.00550337110985825,0.00590251874420334,0.0052801463218706,0.0055230415629933,0.00600359376115249,0.00538112024453435,0.00544093816522426,0.00550948766290061,0.00548954363886393,0.00532471194194368,0.00561280398252167,0.00529799433777494,0.00593454860217266,0.00561116986935233,0.00574386389440342,0.00557034913407256,0.0055357004785427,0.0054060183561512,0.0053725782912308,0.00526101187096435,0.00575339006751818,0.0055724064000225,0.00562487530522328,0.00578980350514302,0.00580530226761112,0.00563179811820327,0.00570360996128563,0.0054045528695979,0.0054588499409105,0.0058221617382636,0.00576258329924234,0.00550301572313922,0.00568731687163033,0.00570547152504402,0.00523225700798431,0.00561194395163498,0.00580596813524232,0.00567866480232945,0.0055057872536575,0.00544412114986092,0.00561608015858727,0.00603633728916564,0.00531972758702408,0.00556877083378749,0.0056546410186754
