"","pop1","pop2","pair","fst","group","year"
"26","PWS91","TB91","PWS91_TB91",0.147717515762287,"PWS vs. TB",1991
"34","PWS96","TB96","PWS96_TB96",0.149435685829357,"PWS vs. TB",1996
"7","PWS07","TB06","PWS07_TB06",0.153995162471206,"PWS vs. TB",2006
"17","PWS17","TB17","PWS17_TB17",0.149273457731055,"PWS vs. TB",2017
"30","PWS96","SS96","PWS96_SS96",0.00514791398364858,"PWS vs. SS",1996
"4","PWS07","SS06","PWS07_SS06",0.0120228405234566,"PWS vs. SS",2006
"14","PWS17","SS17","PWS17_SS17",0.00754078417693568,"PWS vs. SS",2017
"49","SS96","TB96","SS96_TB96",0.153073063147712,"SS vs. TB",1996
"37","SS06","TB06","SS06_TB06",0.160624317100645,"SS vs. TB",2006
"43","SS17","TB17","SS17_TB17",0.154736960545309,"SS vs. TB",2017
