"pop1","pop2","pair","fst"
"PWS07","PWS17","PWS07_PWS17",0.00997169590813043
"PWS07","PWS91","PWS07_PWS91",0.00943547686429456
"PWS07","PWS96","PWS07_PWS96",0.00799014677928786
"PWS17","PWS91","PWS17_PWS91",0.00722517891979608
"PWS17","PWS96","PWS17_PWS96",0.0070235018669078
"PWS91","PWS96","PWS91_PWS96",0.00657103729836714
"TB06","TB17","TB06_TB17",0.00790641012080602
"TB06","TB91","TB06_TB91",0.0087421607321946
"TB06","TB96","TB06_TB96",0.00767316737615494
"TB17","TB91","TB17_TB91",0.00792535799493594
"TB17","TB96","TB17_TB96",0.00620266757959248
"TB91","TB96","TB91_TB96",0.00685822326244816
"SS06","SS17","SS06_SS17",0.00922432851219412
"SS06","SS96","SS06_SS96",0.0089629486033014
"SS17","SS96","SS17_SS96",0.0057261450971024
"PWS07","TB06","PWS07_TB06",0.153995162471206
"PWS17","TB17","PWS17_TB17",0.149273457731055
"PWS91","TB91","PWS91_TB91",0.147717515762287
"PWS96","TB96","PWS96_TB96",0.149435685829357
"PWS07","SS06","PWS07_SS06",0.0120228405234566
"PWS17","SS17","PWS17_SS17",0.00754078417693568
"PWS96","SS96","PWS96_SS96",0.00514791398364858
"SS06","TB06","SS06_TB06",0.160624317100645
"SS17","TB17","SS17_TB17",0.154736960545309
"SS96","TB96","SS96_TB96",0.153073063147712
