"","Var1","Freq"
"1","0",1140578
"2","1",3325999
"3","2",2060745
"4","3",1331974
"5","4",875136
"6","5",633350
"7","6",489104
"8","7",397123
"9","8",333343
"10","9",287062
"11","10",252246
"12","11",226680
"13","12",206042
"14","13",189001
"15","14",176874
"16","15",165245
"17","16",156494
"18","17",147905
"19","18",137553
"20","19",125002
"21","20",109320
"22","21",92677
"23","22",76486
"24","23",62136
"25","24",49098
"26","25",37976
"27","26",29335
"28","27",21724
"29","28",16067
"30","29",11767
"31","30",8586
"32","31",6049
"33","32",4453
"34","33",3120
"35","34",2210
"36","35",1440
"37","36",1028
"38","37",656
"39","38",438
"40","39",265
"41","40",191
"42","41",111
"43","42",80
"44","43",58
"45","44",32
"46","45",25
"47","46",27
"48","47",24
"49","48",18
"50","49",23
"51","50",19
"52","51",9
"53","52",9
"54","53",11
"55","54",15
"56","55",13
"57","56",10
"58","57",4
"59","58",8
"60","59",4
"61","60",9
"62","61",1
"63","62",2
"64","63",2
"65","64",6
"66","65",2
"67","66",4
"68","67",1
"69","71",1
