"","Var1","Freq"
"1","0",1238313
"2","1",4015613
"3","2",2278198
"4","3",1383196
"5","4",905951
"6","5",663524
"7","6",522547
"8","7",431812
"9","8",369474
"10","9",325053
"11","10",290606
"12","11",265864
"13","12",245510
"14","13",227598
"15","14",209839
"16","15",186199
"17","16",161318
"18","17",134007
"19","18",109456
"20","19",85297
"21","20",63660
"22","21",45815
"23","22",31891
"24","23",21395
"25","24",14207
"26","25",9189
"27","26",5837
"28","27",3747
"29","28",2429
"30","29",1521
"31","30",962
"32","31",578
"33","32",367
"34","33",217
"35","34",135
"36","35",76
"37","36",57
"38","37",34
"39","38",33
"40","39",15
"41","40",13
"42","41",9
"43","42",12
"44","43",6
"45","44",9
"46","45",9
"47","46",11
"48","47",4
"49","48",4
"50","49",3
"51","50",4
"52","51",4
"53","52",3
"54","53",2
"55","54",4
"56","55",2
"57","56",3
"58","57",1
"59","58",1
