"","Gene_Name","Gene_ID"
"1","ADGRL3","ENSCHAG00000016770"
"10","ARHGDIA","ENSCHAG00000003580"
"12","BPTF","ENSCHAG00000021387"
"21","BRSK2","ENSCHAG00000017077"
"27","C17orf58","ENSCHAG00000021348"
"28","C1orf146","ENSCHAG00000013925"
"29","CCNE2","ENSCHAG00000002021"
"31","CLPB","ENSCHAG00000009705"
"34","DDX5","ENSCHAG00000019087"
"40","DENND2A","ENSCHAG00000009667"
"45","DPY19L4","ENSCHAG00000001096"
"49","ENDOV","ENSCHAG00000003061"
"51","ENSCHAG00000000245","ENSCHAG00000000245"
"55","ENSCHAG00000000247","ENSCHAG00000000247"
"56","ENSCHAG00000000287","ENSCHAG00000000287"
"57","ENSCHAG00000000291","ENSCHAG00000000291"
"58","ENSCHAG00000000297","ENSCHAG00000000297"
"59","ENSCHAG00000000307","ENSCHAG00000000307"
"60","ENSCHAG00000000318","ENSCHAG00000000318"
"61","ENSCHAG00000000327","ENSCHAG00000000327"
"62","ENSCHAG00000000374","ENSCHAG00000000374"
"63","ENSCHAG00000000437","ENSCHAG00000000437"
"64","ENSCHAG00000000776","ENSCHAG00000000776"
"67","ENSCHAG00000000833","ENSCHAG00000000833"
"76","ENSCHAG00000001521","ENSCHAG00000001521"
"77","ENSCHAG00000001533","ENSCHAG00000001533"
"78","ENSCHAG00000001648","ENSCHAG00000001648"
"79","ENSCHAG00000001655","ENSCHAG00000001655"
"80","ENSCHAG00000001662","ENSCHAG00000001662"
"81","ENSCHAG00000001671","ENSCHAG00000001671"
"83","ENSCHAG00000001687","ENSCHAG00000001687"
"93","ENSCHAG00000001730","ENSCHAG00000001730"
"94","ENSCHAG00000001764","ENSCHAG00000001764"
"95","ENSCHAG00000001768","ENSCHAG00000001768"
"96","ENSCHAG00000001785","ENSCHAG00000001785"
"98","ENSCHAG00000001846","ENSCHAG00000001846"
"99","ENSCHAG00000001873","ENSCHAG00000001873"
