"","Gene_Name","Gene_ID"
"1","5S_rRNA","ENSCHAG00000018938"
"2","ACSF3","ENSCHAG00000022016"
"11","BRSK2","ENSCHAG00000017077"
"17","DNAJA4","ENSCHAG00000009400"
"18","DST","ENSCHAG00000018616"
"27","ENSCHAG00000000252","ENSCHAG00000000252"
"28","ENSCHAG00000000329","ENSCHAG00000000329"
"29","ENSCHAG00000000374","ENSCHAG00000000374"
"30","ENSCHAG00000000394","ENSCHAG00000000394"
"31","ENSCHAG00000000431","ENSCHAG00000000431"
"32","ENSCHAG00000000437","ENSCHAG00000000437"
"33","ENSCHAG00000000883","ENSCHAG00000000883"
"34","ENSCHAG00000000902","ENSCHAG00000000902"
"35","ENSCHAG00000000932","ENSCHAG00000000932"
"36","ENSCHAG00000000960","ENSCHAG00000000960"
"37","ENSCHAG00000000966","ENSCHAG00000000966"
"38","ENSCHAG00000000994","ENSCHAG00000000994"
"39","ENSCHAG00000001019","ENSCHAG00000001019"
"40","ENSCHAG00000001026","ENSCHAG00000001026"
"41","ENSCHAG00000001087","ENSCHAG00000001087"
"42","ENSCHAG00000001092","ENSCHAG00000001092"
"43","ENSCHAG00000001118","ENSCHAG00000001118"
"44","ENSCHAG00000001153","ENSCHAG00000001153"
"45","ENSCHAG00000001154","ENSCHAG00000001154"
"47","ENSCHAG00000001249","ENSCHAG00000001249"
"48","ENSCHAG00000001342","ENSCHAG00000001342"
"49","ENSCHAG00000001408","ENSCHAG00000001408"
"50","ENSCHAG00000001451","ENSCHAG00000001451"
"51","ENSCHAG00000001455","ENSCHAG00000001455"
"52","ENSCHAG00000001460","ENSCHAG00000001460"
"53","ENSCHAG00000001670","ENSCHAG00000001670"
"54","ENSCHAG00000001741","ENSCHAG00000001741"
"55","ENSCHAG00000001776","ENSCHAG00000001776"
"59","ENSCHAG00000001860","ENSCHAG00000001860"
"61","ENSCHAG00000001955","ENSCHAG00000001955"
"62","ENSCHAG00000002132","ENSCHAG00000002132"
"63","ENSCHAG00000002206","ENSCHAG00000002206"
"65","ENSCHAG00000002304","ENSCHAG00000002304"
"68","ENSCHAG00000002372","ENSCHAG00000002372"
"69","ENSCHAG00000002417","ENSCHAG00000002417"
"70","ENSCHAG00000002458","ENSCHAG00000002458"
"71","ENSCHAG00000002549","ENSCHAG00000002549"
"72","ENSCHAG00000002586","ENSCHAG00000002586"
"74","ENSCHAG00000002689","ENSCHAG00000002689"
"75","ENSCHAG00000002710","ENSCHAG00000002710"
"76","ENSCHAG00000002747","ENSCHAG00000002747"
"77","ENSCHAG00000003057","ENSCHAG00000003057"
"83","ENSCHAG00000003232","ENSCHAG00000003232"
"93","ENSCHAG00000003315","ENSCHAG00000003315"
"94","ENSCHAG00000003346","ENSCHAG00000003346"
"95","ENSCHAG00000003350","ENSCHAG00000003350"
"96","ENSCHAG00000003358","ENSCHAG00000003358"
"97","ENSCHAG00000003723","ENSCHAG00000003723"
"98","ENSCHAG00000003729","ENSCHAG00000003729"
"99","ENSCHAG00000004347","ENSCHAG00000004347"
"100","ENSCHAG00000004449","ENSCHAG00000004449"
"101","ENSCHAG00000004520","ENSCHAG00000004520"
"102","ENSCHAG00000005097","ENSCHAG00000005097"
"103","ENSCHAG00000005105","ENSCHAG00000005105"
"104","ENSCHAG00000005355","ENSCHAG00000005355"
"105","ENSCHAG00000005360","ENSCHAG00000005360"
"106","ENSCHAG00000006013","ENSCHAG00000006013"
"107","ENSCHAG00000006367","ENSCHAG00000006367"
"108","ENSCHAG00000006369","ENSCHAG00000006369"
"109","ENSCHAG00000006372","ENSCHAG00000006372"
"110","ENSCHAG00000006374","ENSCHAG00000006374"
"111","ENSCHAG00000006426","ENSCHAG00000006426"
"112","ENSCHAG00000006440","ENSCHAG00000006440"
"113","ENSCHAG00000006819","ENSCHAG00000006819"
"114","ENSCHAG00000006871","ENSCHAG00000006871"
"115","ENSCHAG00000007051","ENSCHAG00000007051"
"116","ENSCHAG00000007056","ENSCHAG00000007056"
"117","ENSCHAG00000007079","ENSCHAG00000007079"
"118","ENSCHAG00000007112","ENSCHAG00000007112"
"119","ENSCHAG00000007138","ENSCHAG00000007138"
"120","ENSCHAG00000007184","ENSCHAG00000007184"
"121","ENSCHAG00000007207","ENSCHAG00000007207"
"122","ENSCHAG00000007317","ENSCHAG00000007317"
"123","ENSCHAG00000007325","ENSCHAG00000007325"
"124","ENSCHAG00000007371","ENSCHAG00000007371"
"127","ENSCHAG00000007513","ENSCHAG00000007513"
"129","ENSCHAG00000007853","ENSCHAG00000007853"
"134","ENSCHAG00000007907","ENSCHAG00000007907"
"135","ENSCHAG00000008315","ENSCHAG00000008315"
"139","ENSCHAG00000008765","ENSCHAG00000008765"
"140","ENSCHAG00000008785","ENSCHAG00000008785"
"141","ENSCHAG00000008791","ENSCHAG00000008791"
"142","ENSCHAG00000008921","ENSCHAG00000008921"
"144","ENSCHAG00000008939","ENSCHAG00000008939"
"145","ENSCHAG00000008966","ENSCHAG00000008966"
"147","ENSCHAG00000010127","ENSCHAG00000010127"
"157","ENSCHAG00000010270","ENSCHAG00000010270"
"158","ENSCHAG00000010446","ENSCHAG00000010446"
"162","ENSCHAG00000010513","ENSCHAG00000010513"
"166","ENSCHAG00000010600","ENSCHAG00000010600"
"171","ENSCHAG00000010675","ENSCHAG00000010675"
"172","ENSCHAG00000010680","ENSCHAG00000010680"
"175","ENSCHAG00000011120","ENSCHAG00000011120"
"176","ENSCHAG00000011187","ENSCHAG00000011187"
"182","ENSCHAG00000011290","ENSCHAG00000011290"
"185","ENSCHAG00000011312","ENSCHAG00000011312"
"186","ENSCHAG00000011355","ENSCHAG00000011355"
"187","ENSCHAG00000011508","ENSCHAG00000011508"
"188","ENSCHAG00000011602","ENSCHAG00000011602"
"189","ENSCHAG00000011614","ENSCHAG00000011614"
"190","ENSCHAG00000012129","ENSCHAG00000012129"
"192","ENSCHAG00000012700","ENSCHAG00000012700"
"193","ENSCHAG00000012706","ENSCHAG00000012706"
"195","ENSCHAG00000012707","ENSCHAG00000012707"
"196","ENSCHAG00000012882","ENSCHAG00000012882"
"197","ENSCHAG00000012946","ENSCHAG00000012946"
"199","ENSCHAG00000012951","ENSCHAG00000012951"
"200","ENSCHAG00000012961","ENSCHAG00000012961"
"201","ENSCHAG00000012971","ENSCHAG00000012971"
"202","ENSCHAG00000013020","ENSCHAG00000013020"
"203","ENSCHAG00000013075","ENSCHAG00000013075"
"204","ENSCHAG00000013364","ENSCHAG00000013364"
"205","ENSCHAG00000013588","ENSCHAG00000013588"
"207","ENSCHAG00000013591","ENSCHAG00000013591"
"208","ENSCHAG00000013726","ENSCHAG00000013726"
"212","ENSCHAG00000014028","ENSCHAG00000014028"
"213","ENSCHAG00000014140","ENSCHAG00000014140"
"223","ENSCHAG00000014180","ENSCHAG00000014180"
"224","ENSCHAG00000014187","ENSCHAG00000014187"
"225","ENSCHAG00000014221","ENSCHAG00000014221"
"227","ENSCHAG00000014289","ENSCHAG00000014289"
"228","ENSCHAG00000014314","ENSCHAG00000014314"
"229","ENSCHAG00000014874","ENSCHAG00000014874"
"232","ENSCHAG00000017444","ENSCHAG00000017444"
"234","ENSCHAG00000017633","ENSCHAG00000017633"
"236","ENSCHAG00000017786","ENSCHAG00000017786"
"237","ENSCHAG00000017789","ENSCHAG00000017789"
"238","ENSCHAG00000017902","ENSCHAG00000017902"
"240","ENSCHAG00000018288","ENSCHAG00000018288"
"250","ENSCHAG00000018392","ENSCHAG00000018392"
"251","ENSCHAG00000018897","ENSCHAG00000018897"
"253","ENSCHAG00000019052","ENSCHAG00000019052"
"254","ENSCHAG00000019173","ENSCHAG00000019173"
"255","ENSCHAG00000020275","ENSCHAG00000020275"
"256","ENSCHAG00000020576","ENSCHAG00000020576"
"258","ENSCHAG00000020583","ENSCHAG00000020583"
"259","ENSCHAG00000020745","ENSCHAG00000020745"
"260","ENSCHAG00000020766","ENSCHAG00000020766"
"261","ENSCHAG00000020858","ENSCHAG00000020858"
"267","ENSCHAG00000021134","ENSCHAG00000021134"
"268","ENSCHAG00000021195","ENSCHAG00000021195"
"269","ENSCHAG00000021839","ENSCHAG00000021839"
"271","ENSCHAG00000021896","ENSCHAG00000021896"
"272","ENSCHAG00000021902","ENSCHAG00000021902"
"273","ENSCHAG00000022976","ENSCHAG00000022976"
"274","ENSCHAG00000022981","ENSCHAG00000022981"
"275","ENSCHAG00000024313","ENSCHAG00000024313"
"276","ENSCHAG00000024329","ENSCHAG00000024329"
"286","ENSCHAG00000024630","ENSCHAG00000024630"
"287","ENSCHAG00000024650","ENSCHAG00000024650"
"288","ENSCHAG00000024770","ENSCHAG00000024770"
"289","ENSCHAG00000025706","ENSCHAG00000025706"
"292","ENSCHAG00000025760","ENSCHAG00000025760"
"293","ENSCHAG00000025791","ENSCHAG00000025791"
"294","ENSCHAG00000026005","ENSCHAG00000026005"
"296","ENSCHAG00000026010","ENSCHAG00000026010"
"298","ENSCHAG00000026016","ENSCHAG00000026016"
"300","ENSCHAG00000026021","ENSCHAG00000026021"
"301","ENSCHAG00000026042","ENSCHAG00000026042"
"302","ENSCHAG00000027129","ENSCHAG00000027129"
"303","ENSCHAG00000027151","ENSCHAG00000027151"
"304","ENSCHAG00000027153","ENSCHAG00000027153"
"305","ENSCHAG00000027158","ENSCHAG00000027158"
"306","ENSCHAG00000027295","ENSCHAG00000027295"
"307","ENSCHAG00000027713","ENSCHAG00000027713"
"308","ENSCHAG00000027720","ENSCHAG00000027720"
"309","FAM92B","ENSCHAG00000017805"
"310","HTR4","ENSCHAG00000013829"
"311","MYH10","ENSCHAG00000017807"
"321","PALMD","ENSCHAG00000009863"
"322","PIK3R6","ENSCHAG00000017618"
"323","POU3F4","ENSCHAG00000012678"
"324","RBFOX3","ENSCHAG00000015461"
"326","SEPTIN7","ENSCHAG00000010779"
"333","SNORA62","ENSCHAG00000023225"
"334","SNORA62","ENSCHAG00000023229"
"335","TMEM80","ENSCHAG00000002283"
"336","U4","ENSCHAG00000018944"
"337","U4","ENSCHAG00000019020"
"338","U4","ENSCHAG00000019021"
"339","U4","ENSCHAG00000019022"
"340","U4","ENSCHAG00000019023"
"341","U4","ENSCHAG00000019025"
"342","U4","ENSCHAG00000019028"
"343","U4","ENSCHAG00000019030"
"344","U4","ENSCHAG00000019032"
"345","U4","ENSCHAG00000019034"
"346","U4","ENSCHAG00000019036"
"347","U4","ENSCHAG00000019037"
"348","U4","ENSCHAG00000019041"
"349","U4","ENSCHAG00000019044"
"350","U4","ENSCHAG00000019046"
"351","U5","ENSCHAG00000018900"
"352","U5","ENSCHAG00000018902"
"353","U5","ENSCHAG00000018906"
"354","U5","ENSCHAG00000018914"
"355","U5","ENSCHAG00000018920"
"356","U5","ENSCHAG00000018922"
"357","U5","ENSCHAG00000018923"
"358","U5","ENSCHAG00000018927"
"359","U5","ENSCHAG00000018930"
