"","Gene_Name","Gene_ID"
"1","5S_rRNA","ENSCHAG00000018938"
"2","AOPEP","ENSCHAG00000019188"
"3","ARHGDIA","ENSCHAG00000003580"
"5","ASS1","ENSCHAG00000011711"
"11","AUH","ENSCHAG00000019965"
"13","BCL11B","ENSCHAG00000019184"
"14","CHAC1","ENSCHAG00000019129"
"15","CKLF","ENSCHAG00000022054"
"16","DIRAS2","ENSCHAG00000019934"
"17","DLL4","ENSCHAG00000018994"
"20","DNAAF5","ENSCHAG00000001351"
"23","DPYSL2","ENSCHAG00000014643"
"33","EIF5","ENSCHAG00000006019"
"37","ENSCHAG00000000251","ENSCHAG00000000251"
"43","ENSCHAG00000000329","ENSCHAG00000000329"
"44","ENSCHAG00000000570","ENSCHAG00000000570"
"45","ENSCHAG00000000955","ENSCHAG00000000955"
"49","ENSCHAG00000001252","ENSCHAG00000001252"
"52","ENSCHAG00000001284","ENSCHAG00000001284"
"62","ENSCHAG00000001305","ENSCHAG00000001305"
"64","ENSCHAG00000001325","ENSCHAG00000001325"
"65","ENSCHAG00000001523","ENSCHAG00000001523"
"66","ENSCHAG00000001660","ENSCHAG00000001660"
"67","ENSCHAG00000001664","ENSCHAG00000001664"
"68","ENSCHAG00000001670","ENSCHAG00000001670"
"69","ENSCHAG00000001676","ENSCHAG00000001676"
"70","ENSCHAG00000001677","ENSCHAG00000001677"
"71","ENSCHAG00000001741","ENSCHAG00000001741"
"72","ENSCHAG00000001893","ENSCHAG00000001893"
"73","ENSCHAG00000002075","ENSCHAG00000002075"
"75","ENSCHAG00000002124","ENSCHAG00000002124"
"76","ENSCHAG00000002206","ENSCHAG00000002206"
"78","ENSCHAG00000002232","ENSCHAG00000002232"
"81","ENSCHAG00000002257","ENSCHAG00000002257"
"86","ENSCHAG00000002344","ENSCHAG00000002344"
"87","ENSCHAG00000002830","ENSCHAG00000002830"
"88","ENSCHAG00000002887","ENSCHAG00000002887"
"89","ENSCHAG00000002915","ENSCHAG00000002915"
"90","ENSCHAG00000003107","ENSCHAG00000003107"
"91","ENSCHAG00000003153","ENSCHAG00000003153"
"92","ENSCHAG00000003177","ENSCHAG00000003177"
"93","ENSCHAG00000003194","ENSCHAG00000003194"
"94","ENSCHAG00000003226","ENSCHAG00000003226"
"98","ENSCHAG00000003516","ENSCHAG00000003516"
"106","ENSCHAG00000003649","ENSCHAG00000003649"
"110","ENSCHAG00000003729","ENSCHAG00000003729"
"111","ENSCHAG00000004049","ENSCHAG00000004049"
"112","ENSCHAG00000004076","ENSCHAG00000004076"
"113","ENSCHAG00000004089","ENSCHAG00000004089"
"114","ENSCHAG00000004184","ENSCHAG00000004184"
"115","ENSCHAG00000004261","ENSCHAG00000004261"
"117","ENSCHAG00000004356","ENSCHAG00000004356"
"118","ENSCHAG00000004471","ENSCHAG00000004471"
"120","ENSCHAG00000004553","ENSCHAG00000004553"
"122","ENSCHAG00000005097","ENSCHAG00000005097"
