"","Gene_Name","Gene_ID"
"1","ADAMTSL1","ENSCHAG00000025420"
"5","ARPC4-TTLL3","ENSCHAG00000019136"
"6","ASCL4","ENSCHAG00000026305"
"7","ASS1","ENSCHAG00000011711"
"13","B3GAT1","ENSCHAG00000003898"
"15","CKAP5","ENSCHAG00000009275"
"18","DGKD","ENSCHAG00000023771"
"28","EFEMP1","ENSCHAG00000013447"
"31","ENSCHAG00000000258","ENSCHAG00000000258"
"32","ENSCHAG00000000303","ENSCHAG00000000303"
"35","ENSCHAG00000000417","ENSCHAG00000000417"
"36","ENSCHAG00000000437","ENSCHAG00000000437"
"37","ENSCHAG00000000476","ENSCHAG00000000476"
"38","ENSCHAG00000000521","ENSCHAG00000000521"
"40","ENSCHAG00000000555","ENSCHAG00000000555"
"41","ENSCHAG00000000595","ENSCHAG00000000595"
"45","ENSCHAG00000000647","ENSCHAG00000000647"
"46","ENSCHAG00000000835","ENSCHAG00000000835"
"47","ENSCHAG00000001075","ENSCHAG00000001075"
"48","ENSCHAG00000001153","ENSCHAG00000001153"
"49","ENSCHAG00000001177","ENSCHAG00000001177"
"52","ENSCHAG00000001249","ENSCHAG00000001249"
"53","ENSCHAG00000001316","ENSCHAG00000001316"
"59","ENSCHAG00000001342","ENSCHAG00000001342"
"60","ENSCHAG00000001408","ENSCHAG00000001408"
"61","ENSCHAG00000001411","ENSCHAG00000001411"
"62","ENSCHAG00000001428","ENSCHAG00000001428"
"63","ENSCHAG00000001451","ENSCHAG00000001451"
"64","ENSCHAG00000001455","ENSCHAG00000001455"
"65","ENSCHAG00000001460","ENSCHAG00000001460"
"66","ENSCHAG00000001668","ENSCHAG00000001668"
"67","ENSCHAG00000001687","ENSCHAG00000001687"
"77","ENSCHAG00000002094","ENSCHAG00000002094"
"78","ENSCHAG00000002114","ENSCHAG00000002114"
"80","ENSCHAG00000002173","ENSCHAG00000002173"
"81","ENSCHAG00000002192","ENSCHAG00000002192"
"82","ENSCHAG00000002497","ENSCHAG00000002497"
"84","ENSCHAG00000002560","ENSCHAG00000002560"
"85","ENSCHAG00000002619","ENSCHAG00000002619"
"87","ENSCHAG00000002650","ENSCHAG00000002650"
"89","ENSCHAG00000002897","ENSCHAG00000002897"
"90","ENSCHAG00000003037","ENSCHAG00000003037"
"91","ENSCHAG00000003209","ENSCHAG00000003209"
"92","ENSCHAG00000003276","ENSCHAG00000003276"
"93","ENSCHAG00000003289","ENSCHAG00000003289"
"94","ENSCHAG00000003308","ENSCHAG00000003308"
"95","ENSCHAG00000003531","ENSCHAG00000003531"
"96","ENSCHAG00000003568","ENSCHAG00000003568"
"97","ENSCHAG00000003663","ENSCHAG00000003663"
"98","ENSCHAG00000004091","ENSCHAG00000004091"
"99","ENSCHAG00000004131","ENSCHAG00000004131"
"100","ENSCHAG00000004142","ENSCHAG00000004142"
"101","ENSCHAG00000004900","ENSCHAG00000004900"
"102","ENSCHAG00000004916","ENSCHAG00000004916"
"103","ENSCHAG00000004925","ENSCHAG00000004925"
"105","ENSCHAG00000005003","ENSCHAG00000005003"
"113","ENSCHAG00000005423","ENSCHAG00000005423"
"114","ENSCHAG00000005431","ENSCHAG00000005431"
"115","ENSCHAG00000005453","ENSCHAG00000005453"
"119","ENSCHAG00000005868","ENSCHAG00000005868"
"120","ENSCHAG00000005881","ENSCHAG00000005881"
"121","ENSCHAG00000005955","ENSCHAG00000005955"
"122","ENSCHAG00000006612","ENSCHAG00000006612"
"125","ENSCHAG00000006672","ENSCHAG00000006672"
"126","ENSCHAG00000006690","ENSCHAG00000006690"
"127","ENSCHAG00000006718","ENSCHAG00000006718"
"128","ENSCHAG00000006764","ENSCHAG00000006764"
"132","ENSCHAG00000006766","ENSCHAG00000006766"
"142","ENSCHAG00000007524","ENSCHAG00000007524"
"143","ENSCHAG00000007612","ENSCHAG00000007612"
"146","ENSCHAG00000007698","ENSCHAG00000007698"
"147","ENSCHAG00000007723","ENSCHAG00000007723"
"148","ENSCHAG00000008102","ENSCHAG00000008102"
"150","ENSCHAG00000008183","ENSCHAG00000008183"
"151","ENSCHAG00000008423","ENSCHAG00000008423"
"153","ENSCHAG00000008966","ENSCHAG00000008966"
"155","ENSCHAG00000008972","ENSCHAG00000008972"
"156","ENSCHAG00000008976","ENSCHAG00000008976"
