"","Gene_Name","Gene_ID"
"1","5S_rRNA","ENSCHAG00000026213"
"2","DDAH1","ENSCHAG00000003298"
"3","ENSCHAG00000000247","ENSCHAG00000000247"
"4","ENSCHAG00000000252","ENSCHAG00000000252"
"5","ENSCHAG00000000329","ENSCHAG00000000329"
"6","ENSCHAG00000000381","ENSCHAG00000000381"
"7","ENSCHAG00000000386","ENSCHAG00000000386"
"8","ENSCHAG00000000401","ENSCHAG00000000401"
"9","ENSCHAG00000000418","ENSCHAG00000000418"
"10","ENSCHAG00000000440","ENSCHAG00000000440"
"11","ENSCHAG00000000477","ENSCHAG00000000477"
"12","ENSCHAG00000000684","ENSCHAG00000000684"
"13","ENSCHAG00000000833","ENSCHAG00000000833"
"22","ENSCHAG00000000955","ENSCHAG00000000955"
"26","ENSCHAG00000001252","ENSCHAG00000001252"
"29","ENSCHAG00000001309","ENSCHAG00000001309"
"35","ENSCHAG00000001523","ENSCHAG00000001523"
"36","ENSCHAG00000001572","ENSCHAG00000001572"
"38","ENSCHAG00000001589","ENSCHAG00000001589"
"40","ENSCHAG00000001601","ENSCHAG00000001601"
"44","ENSCHAG00000001648","ENSCHAG00000001648"
"45","ENSCHAG00000001677","ENSCHAG00000001677"
"46","ENSCHAG00000001687","ENSCHAG00000001687"
"56","ENSCHAG00000001981","ENSCHAG00000001981"
"57","ENSCHAG00000002034","ENSCHAG00000002034"
"66","ENSCHAG00000002206","ENSCHAG00000002206"
"68","ENSCHAG00000002339","ENSCHAG00000002339"
"69","ENSCHAG00000002345","ENSCHAG00000002345"
"70","ENSCHAG00000002364","ENSCHAG00000002364"
"71","ENSCHAG00000002365","ENSCHAG00000002365"
"74","ENSCHAG00000002377","ENSCHAG00000002377"
"75","ENSCHAG00000002400","ENSCHAG00000002400"
"76","ENSCHAG00000002407","ENSCHAG00000002407"
"77","ENSCHAG00000002463","ENSCHAG00000002463"
"78","ENSCHAG00000002471","ENSCHAG00000002471"
"79","ENSCHAG00000002476","ENSCHAG00000002476"
"80","ENSCHAG00000002492","ENSCHAG00000002492"
"81","ENSCHAG00000002517","ENSCHAG00000002517"
"82","ENSCHAG00000002522","ENSCHAG00000002522"
"83","ENSCHAG00000002655","ENSCHAG00000002655"
"87","ENSCHAG00000003239","ENSCHAG00000003239"
"97","ENSCHAG00000003257","ENSCHAG00000003257"
"98","ENSCHAG00000003480","ENSCHAG00000003480"
"99","ENSCHAG00000003484","ENSCHAG00000003484"
"100","ENSCHAG00000003903","ENSCHAG00000003903"
"101","ENSCHAG00000004520","ENSCHAG00000004520"
"102","ENSCHAG00000004528","ENSCHAG00000004528"
"103","ENSCHAG00000004556","ENSCHAG00000004556"
"104","ENSCHAG00000004628","ENSCHAG00000004628"
"105","ENSCHAG00000005145","ENSCHAG00000005145"
"106","ENSCHAG00000005835","ENSCHAG00000005835"
"107","ENSCHAG00000006255","ENSCHAG00000006255"
"108","ENSCHAG00000006256","ENSCHAG00000006256"
"109","ENSCHAG00000006320","ENSCHAG00000006320"
"113","ENSCHAG00000006367","ENSCHAG00000006367"
"114","ENSCHAG00000006369","ENSCHAG00000006369"
"115","ENSCHAG00000006372","ENSCHAG00000006372"
"116","ENSCHAG00000006374","ENSCHAG00000006374"
"117","ENSCHAG00000006426","ENSCHAG00000006426"
