"","Gene_Name","Gene_ID"
"731","mob3c","ENSCHAG00000023261"
"732","mogat2","ENSCHAG00000017898"
"733","mrto4","ENSCHAG00000010790"
"735","msx2b","ENSCHAG00000002919"
"736","mxra8a","ENSCHAG00000012742"
"738","mylipa","ENSCHAG00000006684"
"739","nab1a","ENSCHAG00000023054"
"741","ncbp3","ENSCHAG00000025331"
"743","nkrf","ENSCHAG00000018961"
"744","nlk1","ENSCHAG00000009646"
"746","nots","ENSCHAG00000009624"
"747","nsfb","ENSCHAG00000018607"
"757","nsg2","ENSCHAG00000002874"
"758","nudt19","ENSCHAG00000021152"
"759","opa1","ENSCHAG00000025933"
"769","or108-3","ENSCHAG00000006171"
"770","ormdl3","ENSCHAG00000018526"
"771","papolg","ENSCHAG00000003904"
"781","pcdh18b","ENSCHAG00000015521"
"782","pcyox1l","ENSCHAG00000001077"
"783","pdcd2l","ENSCHAG00000015799"
"784","pde6ha","ENSCHAG00000025522"
"785","pdk2a","ENSCHAG00000020213"
"794","pef1","ENSCHAG00000002509"
"796","pex13","ENSCHAG00000003593"
"797","pex2","ENSCHAG00000009460"
"798","phf19","ENSCHAG00000022635"
"804","pitx1","ENSCHAG00000006476"
"810","plekhg5a","ENSCHAG00000011957"
"816","plekhh2","ENSCHAG00000016959"
"825","podn","ENSCHAG00000022791"
"826","polg2","ENSCHAG00000016902"
"827","pomcb","ENSCHAG00000009641"
"828","ppcs","ENSCHAG00000012821"
"829","ppp6r2a","ENSCHAG00000010799"
"832","prdm2b","ENSCHAG00000013065"
"834","prdm4","ENSCHAG00000000433"
"836","prickle1b","ENSCHAG00000024638"
"837","psma3","ENSCHAG00000013320"
"839","psmd11b","ENSCHAG00000019372"
"845","ptprna","ENSCHAG00000021500"
"850","pus7l","ENSCHAG00000024665"
"852","rab11a","ENSCHAG00000002433"
"857","rad54l","ENSCHAG00000023002"
"859","ralba","ENSCHAG00000017628"
"863","rassf6","ENSCHAG00000006925"
