"","Gene_Name","Gene_ID"
"1","ABI1","ENSCHAG00000010398"
"5","ARHGDIA","ENSCHAG00000003580"
"7","B3GAT1","ENSCHAG00000003898"
"9","DAPK2","ENSCHAG00000007717"
"13","DLAT","ENSCHAG00000013480"
"15","DNAJA4","ENSCHAG00000009400"
"16","DYNC2H1","ENSCHAG00000022972"
"22","EFCAB2","ENSCHAG00000017495"
"24","EML4","ENSCHAG00000018324"
"34","ENSCHAG00000000252","ENSCHAG00000000252"
"35","ENSCHAG00000000329","ENSCHAG00000000329"
"36","ENSCHAG00000000422","ENSCHAG00000000422"
"37","ENSCHAG00000000458","ENSCHAG00000000458"
"38","ENSCHAG00000000471","ENSCHAG00000000471"
"39","ENSCHAG00000000499","ENSCHAG00000000499"
"40","ENSCHAG00000000570","ENSCHAG00000000570"
"41","ENSCHAG00000000605","ENSCHAG00000000605"
"43","ENSCHAG00000000665","ENSCHAG00000000665"
"44","ENSCHAG00000000676","ENSCHAG00000000676"
"45","ENSCHAG00000001500","ENSCHAG00000001500"
"47","ENSCHAG00000001687","ENSCHAG00000001687"
"57","ENSCHAG00000001707","ENSCHAG00000001707"
"58","ENSCHAG00000002372","ENSCHAG00000002372"
"59","ENSCHAG00000002458","ENSCHAG00000002458"
"60","ENSCHAG00000002621","ENSCHAG00000002621"
"61","ENSCHAG00000002689","ENSCHAG00000002689"
"62","ENSCHAG00000002701","ENSCHAG00000002701"
"63","ENSCHAG00000002703","ENSCHAG00000002703"
"64","ENSCHAG00000002710","ENSCHAG00000002710"
"65","ENSCHAG00000002747","ENSCHAG00000002747"
"66","ENSCHAG00000003093","ENSCHAG00000003093"
"68","ENSCHAG00000003142","ENSCHAG00000003142"
"70","ENSCHAG00000003173","ENSCHAG00000003173"
"71","ENSCHAG00000003244","ENSCHAG00000003244"
"73","ENSCHAG00000003348","ENSCHAG00000003348"
"74","ENSCHAG00000003841","ENSCHAG00000003841"
"75","ENSCHAG00000004091","ENSCHAG00000004091"
"76","ENSCHAG00000004142","ENSCHAG00000004142"
"77","ENSCHAG00000004347","ENSCHAG00000004347"
"78","ENSCHAG00000004449","ENSCHAG00000004449"
"79","ENSCHAG00000004520","ENSCHAG00000004520"
"80","ENSCHAG00000006367","ENSCHAG00000006367"
"81","ENSCHAG00000006369","ENSCHAG00000006369"
