"Gene_Name","Gene_ID","Time"
"ankha","ENSCHAG00000004010","TB.cov12_cov13"
"B3GAT1","ENSCHAG00000003898","TB.cov12_cov13"
"ENSCHAG00000001687","ENSCHAG00000001687","TB.cov12_cov13"
"ENSCHAG00000004091","ENSCHAG00000004091","TB.cov12_cov13"
"ENSCHAG00000004142","ENSCHAG00000004142","TB.cov12_cov13"
"fam117aa","ENSCHAG00000009073","TB.cov12_cov13"
"im:7152348","ENSCHAG00000019891","TB.cov12_cov13"
"myca","ENSCHAG00000003864","TB.cov12_cov13"
"ndst2a","ENSCHAG00000002649","TB.cov12_cov13"
"otulina","ENSCHAG00000004148","TB.cov12_cov13"
"rab6ba","ENSCHAG00000019900","TB.cov12_cov13"
"skib","ENSCHAG00000013389","TB.cov12_cov13"
"zswim8","ENSCHAG00000005956","TB.cov12_cov13"
"ank1a","ENSCHAG00000001526","TB.cov12_cov23"
"chchd1","ENSCHAG00000011676","TB.cov12_cov23"
"dedd1","ENSCHAG00000012313","TB.cov12_cov23"
"ebf2","ENSCHAG00000000295","TB.cov12_cov23"
"ENSCHAG00000000252","ENSCHAG00000000252","TB.cov12_cov23"
"ENSCHAG00000000329","ENSCHAG00000000329","TB.cov12_cov23"
"ENSCHAG00000001687","ENSCHAG00000001687","TB.cov12_cov23"
"ENSCHAG00000004520","ENSCHAG00000004520","TB.cov12_cov23"
"ENSCHAG00000006367","ENSCHAG00000006367","TB.cov12_cov23"
"ENSCHAG00000006369","ENSCHAG00000006369","TB.cov12_cov23"
"ENSCHAG00000006372","ENSCHAG00000006372","TB.cov12_cov23"
"ENSCHAG00000006374","ENSCHAG00000006374","TB.cov12_cov23"
"ENSCHAG00000006426","ENSCHAG00000006426","TB.cov12_cov23"
"ENSCHAG00000006440","ENSCHAG00000006440","TB.cov12_cov23"
"ENSCHAG00000007056","ENSCHAG00000007056","TB.cov12_cov23"
"ENSCHAG00000010910","ENSCHAG00000010910","TB.cov12_cov23"
"ENSCHAG00000011028","ENSCHAG00000011028","TB.cov12_cov23"
"ENSCHAG00000011032","ENSCHAG00000011032","TB.cov12_cov23"
"ENSCHAG00000011054","ENSCHAG00000011054","TB.cov12_cov23"
"ENSCHAG00000013549","ENSCHAG00000013549","TB.cov12_cov23"
"ENSCHAG00000013592","ENSCHAG00000013592","TB.cov12_cov23"
"ipo7","ENSCHAG00000009376","TB.cov12_cov23"
"irx5a","ENSCHAG00000000301","TB.cov12_cov23"
"ldb1a","ENSCHAG00000012037","TB.cov12_cov23"
"mrvi1","ENSCHAG00000006379","TB.cov12_cov23"
"ndst2a","ENSCHAG00000002649","TB.cov12_cov23"
"polr1c","ENSCHAG00000011767","TB.cov12_cov23"
"rabac1","ENSCHAG00000012279","TB.cov12_cov23"
"sbf2","ENSCHAG00000006532","TB.cov12_cov23"
"sema5bb","ENSCHAG00000005803","TB.cov12_cov23"
"si:ch211-51a6.2","ENSCHAG00000011630","TB.cov12_cov23"
"si:ch73-22o12.1","ENSCHAG00000010900","TB.cov12_cov23"
"si:dkey-191g9.5","ENSCHAG00000011690","TB.cov12_cov23"
"si:dkey-191g9.7","ENSCHAG00000011754","TB.cov12_cov23"
"zswim8","ENSCHAG00000005956","TB.cov12_cov23"
"aldh6a1","ENSCHAG00000006703","TB.cov13_cov23"
"dennd4a","ENSCHAG00000003270","TB.cov13_cov23"
"ENSCHAG00000001687","ENSCHAG00000001687","TB.cov13_cov23"
"ENSCHAG00000006672","ENSCHAG00000006672","TB.cov13_cov23"
"ENSCHAG00000007524","ENSCHAG00000007524","TB.cov13_cov23"
"ENSCHAG00000014788","ENSCHAG00000014788","TB.cov13_cov23"
"ENSCHAG00000014801","ENSCHAG00000014801","TB.cov13_cov23"
"ENSCHAG00000014813","ENSCHAG00000014813","TB.cov13_cov23"
"ENSCHAG00000017513","ENSCHAG00000017513","TB.cov13_cov23"
"ENSCHAG00000025791","ENSCHAG00000025791","TB.cov13_cov23"
"entpd5b","ENSCHAG00000006623","TB.cov13_cov23"
"gata3","ENSCHAG00000014525","TB.cov13_cov23"
"megf11","ENSCHAG00000000584","TB.cov13_cov23"
"ndst2a","ENSCHAG00000002649","TB.cov13_cov23"
"rab11a","ENSCHAG00000002433","TB.cov13_cov23"
"slain2","ENSCHAG00000023374","TB.cov13_cov23"
"slc24a1","ENSCHAG00000003677","TB.cov13_cov23"
"slc25a17","ENSCHAG00000014815","TB.cov13_cov23"
"yy1b","ENSCHAG00000007484","TB.cov13_cov23"
"zswim8","ENSCHAG00000005956","TB.cov13_cov23"
"ENSCHAG00000001687","ENSCHAG00000001687","TB.all"
"ndst2a","ENSCHAG00000002649","TB.all"
"zswim8","ENSCHAG00000005956","TB.all"
