"","Population.Year","pop","Year","mean","lwr.CI","upr.CI","mean1000","lwr.CI1000","upr.CI1000","mean10000","lwr.CI10000","upr.CI10000","mean50000","lwr.CI50000","upr.CI50000"
"135","PWS07","PWS",2007,0.024144868159204,0.0233028976493264,0.0249868386690815,0.108446,NA,NA,0.03540323,0.0170086413915986,0.0537978186084014,0.026485192,0.0230997023112098,0.0298706816887902
"181","PWS17","PWS",2017,0.0199859781094527,0.0191279580529667,0.0208439981659388,0.106076,NA,NA,0.03127099,0.0124407439097255,0.0501012360902745,0.02230379,0.0188469411561539,0.0257606388438461
"237","PWS91","PWS",1991,0.0196346427860697,0.0187745210911671,0.0204947644809722,0.105936,NA,NA,0.03094945,0.0120720857296328,0.0498268142703672,0.021951798,0.0184860465189251,0.0254175494810749
"295","PWS96","PWS",1996,0.0159534243781095,0.015082362094317,0.0168244866619019,0.103095,NA,NA,0.02781117,0.00884782116262772,0.0467745188373723,0.018404094,0.0149020724859293,0.0219061155140707
"367","SS06","SS",2006,0.0263053970149254,0.0254886142191039,0.0271221798107469,0.108759,NA,NA,0.03607372,0.0177928412285279,0.0543545987714721,0.028180574,0.0248672944020373,0.0314938535979627
"408","SS17","SS",2017,0.0177075855721393,0.0168357464175649,0.0185794247267137,0.104991,NA,NA,0.02946219,0.0104423768395639,0.0484820031604361,0.02014932,0.0166434057935289,0.0236552342064711
"472","SS96","SS",1996,0.0153805606965174,0.0144804585902242,0.0162806628028106,0.105139,NA,NA,0.02801212,0.00857920593272105,0.047445034067279,0.01805635,0.0144491468694072,0.0216635531305928
"550","TB06","TB",2006,0.0209724412935323,0.0201745459275209,0.0217703366595438,0.101868,NA,NA,0.02913042,0.0108472846634963,0.0474135553365037,0.022324606,0.0190619006756897,0.0255873113243103
"602","TB17","TB",2017,0.0158177402985075,0.0149593990919724,0.0166760815050426,0.102644,NA,NA,0.02556126,0.00618141449119874,0.0449411055088013,0.017671682,0.014182519789112,0.021160844210888
"674","TB91","TB",1991,0.016915647761194,0.0160413085036633,0.0177899870187247,0.104953,NA,NA,0.0278097,0.00840279002794973,0.0472166099720503,0.019116088,0.0155827164172871,0.0226494595827129
"748","TB96","TB",1996,0.0165336213930348,0.0157058014845232,0.0173614413015465,0.100402,NA,NA,0.02531911,0.00644539241085596,0.044192827589144,0.018083298,0.0147059920727013,0.0214606039272987
