"","Population.Year","pop","Year","mean100","median100","mean200","median200","mean500","median500","mean.above600","median.above600","mean.1000","median.1000","mean.10000","median.10000","mean","median"
"135","PWS07","PWS",2007,0.30661613946918,0.168922,0.0544216044039846,0.023744,0.037780805224999,0.0161,0.0239009437689451,0.011038,0.108394525653147,0.025008,0.0440554638750374,0.014026,0.0253675148221512,0.01116
"181","PWS17","PWS",2017,0.308105853852768,0.174799,0.0504823950537307,0.0218935,0.034612953599331,0.014528,0.0197335994236423,0.009056,0.106025151735577,0.022807,0.04011599012973,0.011863,0.0212333694786186,0.009167
"237","PWS91","PWS",1991,0.307687540429496,0.175692,0.0506260383365265,0.022682,0.0345694954581041,0.01451,0.0193904894524577,0.008845,0.105886260179956,0.022829,0.039818266065222,0.011635,0.020892969495754,0.008957
"295","PWS96","PWS",1996,0.303329552918568,0.166979,0.0495295659948448,0.020685,0.0320864628597527,0.012776,0.0157218564491674,0.00709,0.103043008362046,0.019925,0.0367409459212384,0.009731,0.0172343708134506,0.007184
"367","SS06","SS",2006,0.311509381375009,0.18172,0.0516549804348657,0.02385,0.0368130566904071,0.016603,0.0260093054218037,0.01216,0.108708242079172,0.025915,0.0446157283300607,0.014764,0.0274587541586237,0.012291
"408","SS17","SS",2017,0.306951666001813,0.1725605,0.0500448460755205,0.0210655,0.0334423419538178,0.013437,0.0174766183709218,0.007942,0.104940488381783,0.021266,0.0384106897907705,0.010644,0.0189924286129242,0.008044
"472","SS96","SS",1996,0.307012056283783,0.173971,0.051179705056687,0.021214,0.0338702172131294,0.01295,0.0151662636181789,0.006755,0.105086377800846,0.020484,0.037171313739536,0.009554,0.0167179071076489,0.006849
"550","TB06","TB",2006,0.31605812037507,0.195682,0.0395449243110067,0.018608,0.0253197314960489,0.01169,0.0205968308001986,0.00953,0.10181640677983,0.019656,0.0376047495436483,0.011054,0.0220393084860728,0.009632
"602","TB17","TB",2017,0.320685868765452,0.203138,0.0407006838838648,0.0188435,0.0254303896712106,0.010879,0.0154764564335434,0.007025,0.102591479692922,0.018382,0.0345851076147927,0.008875,0.0170109360231198,0.007117
"674","TB91","TB",1991,0.316549258305438,0.194705,0.046935867018947,0.02062,0.0300704432790446,0.012213,0.0166342088254437,0.007378,0.104900015302944,0.019875,0.0368934584084736,0.009682,0.0181771328562986,0.007476
"748","TB96","TB",1996,0.318176746101727,0.2004505,0.0371691938658013,0.01824,0.022920026080932,0.010442,0.0161714674255081,0.007426,0.10034863666854,0.017891,0.0340821249182182,0.009011,0.017661517863725,0.007518
