"","Population.Year","pop","Year","mean","lwr.CI","upr.CI","mean1000","lwr.CI1000","upr.CI1000","mean10000","lwr.CI10000","upr.CI10000","mean50000","lwr.CI50000","upr.CI50000"
"135","PWS07","PWS",2007,0.02391356525,0.0236279918987104,0.0241991386012896,0.06414948,0.00264084863736196,0.125658111362638,0.030967969,0.025362349133588,0.036573588866412,0.0255982772,0.0244669221162607,0.0267296322837393
"181","PWS17","PWS",2017,0.019759379,0.0194685823279321,0.0200501756720679,0.06087312,-0.00184646719826022,0.12359270719826,0.026745401,0.0210237474410147,0.0324670545589853,0.0213986388,0.0202451608723595,0.0225521167276405
"237","PWS91","PWS",1991,0.0194167481,0.0191259141088516,0.0197075820911484,0.06075935,-0.0018907333230177,0.123409433323018,0.026426628,0.0207045151828649,0.0321487408171351,0.0210473392,0.0198935348911123,0.0222011435088877
"295","PWS96","PWS",1996,0.01572865285,0.0154370546849449,0.0160202510150551,0.05815975,-0.00406860836424769,0.120388108364248,0.02331135,0.0176050137289652,0.0290176862710348,0.017504168,0.0163493014688775,0.0186590345311225
"367","SS06","SS",2006,0.0260849767,0.0258000016510276,0.0263699517489724,0.06356759,0.000711152347172103,0.126424027652828,0.031551402,0.0258773078919413,0.0372254961080587,0.0272760822,0.0261407788321068,0.0284113855678932
"408","SS17","SS",2017,0.0174871162,0.0171941122826077,0.0177801201173923,0.05977128,-0.00294582609058874,0.122488386090589,0.024935548,0.0191934842937138,0.0306776117062862,0.0192441208,0.0180834303841566,0.0204048112158434
"472","SS96","SS",1996,0.01515265465,0.014854895979669,0.015450413320331,0.05977437,-0.00299754689998685,0.122546286899987,0.023468824,0.017679505860015,0.029258142139985,0.0171476736,0.0159714770856368,0.0183238701143632
"550","TB06","TB",2006,0.02074187105,0.0204495944213486,0.0210341476786514,0.05448073,-0.0117752455025718,0.120736705502572,0.02439124,0.01849996234211,0.03028251765789,0.0213767492,0.0202070628552252,0.0225464355447748
"602","TB17","TB",2017,0.0155804883,0.0152770914247052,0.0158838851752948,0.05408596,-0.0134929840788365,0.121664904078837,0.020703857,0.0146308839858182,0.0267768300141818,0.0167001278,0.0154891868303939,0.0179110687696061
"674","TB91","TB",1991,0.01669201325,0.0163914640359558,0.0169925624640442,0.05762009,-0.00806812459029553,0.123308304590296,0.023073343,0.0171150285881225,0.0290316574118774,0.0181689144,0.0169736030040607,0.0193642257959393
"748","TB96","TB",1996,0.01630503215,0.0160059702726803,0.0166040940273197,0.05211787,-0.0152850132498786,0.119520753249879,0.020489969,0.0144732269992185,0.0265067110007815,0.0171175232,0.0159214359176885,0.0183136104823115
