pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pop,year
-35.94769845574444,-2.8893636333452513,-9.78054546343776,-12.76079390482331,21.75562093272227,4.044197614382247,-0.7844554190362034,-0.8182544716790108,-1.5364378221709214,-0.5519867671935345,8.862900437958682e-15,PWS,1991
-38.81468070612654,-3.7737035698007433,-4.166420495051338,-4.49565591696517,-6.784131581631693,-15.309005629407267,1.999070536241361,-16.07596977107376,3.2865848656755174,0.5758912402829527,8.862900437958672e-15,PWS,1996
-39.64564906804525,-16.098410501774335,25.606563064765925,3.9450519863315727,3.7822172778073906,2.459811845066906,-0.6028853902674446,-0.21981652587992198,0.6766052610417541,-0.11109965901811235,8.862900437958666e-15,PWS,2006
-35.804537909396615,-2.798162043641705,-12.93338197046634,24.66604284039711,2.8545715197926635,2.4905942179640768,-0.9898162892146081,-0.472858461755851,-1.28188792051186,-0.15504274246283048,8.862900437958652e-15,PWS,2017
-40.45634251397929,-2.622332625959352,-3.778076804712581,-4.1798165189264225,-5.825632804667067,-11.258498722453197,2.7483329765721485,19.379460430845402,0.40092298638575985,0.9779723289914,8.862900437958682e-15,SS,1996
-38.18702301135226,30.98296082353896,9.981130414965488,1.382855822701419,1.310924399325475,0.1622125581016431,-0.8019981751860843,-0.7734850527435139,-1.4426431007718676,-0.6575723553644052,8.862900437958661e-15,SS,2006
-39.56461607610021,-2.61768714328283,-5.594069198668575,-8.10902061081177,-16.2634996213436,17.603104974210204,-1.5036100687709792,-1.369572676074332,-0.4491907604956604,-0.24479167252182626,8.862900437958674e-15,SS,2017
67.96091499774167,-2.4027964109274738,0.4797148142814583,-1.1557266884075132,-2.4558023490765954,-3.7199834926486224,-7.578443191270888,-0.5446067503999188,-14.996944055954556,-11.24882350942397,8.862900437958677e-15,TB,1991
66.5395489417327,0.21637566997254568,0.32076791981618147,-0.4024029032190494,-0.05404207353364004,-0.4624014935520843,-8.061493134304603,-0.15183871658869638,-1.8509638655915015,18.823452821531085,8.862900437958655e-15,TB,1996
67.62456084881867,0.6246720465499794,0.6271247912857012,0.7418093070008714,0.7118326786199668,3.086527886059095,22.570881432337977,-0.7803993227824924,-0.6718373710897715,0.3140500584052533,8.86290043795866e-15,TB,2006
66.29552295245162,1.378447388670217,-0.7628070727781352,0.367656586722348,0.9679416219848237,0.9034402422770206,-6.995583277100657,1.8273413181320781,17.865791783483104,-7.722049743225998,8.86290043795868e-15,TB,2017
