"N","High level GO category","Genes"
37,"Intracellular anatomical structure "," bnip1b  rab11a  pex13  rel  sox9a  papolg  sync  mylipa  actr3  cct2  cpsf6  kcnab2a  psma3  skib  ep300b  pdcd2l  acox1  ten1  evpla  srp68  epcam  polg2  plekhh2  clasp1a  ormdl3  MYO1D  faap100  TUBA4A  tuba8l3  ptprna  katnb1  ahr2  NAB1  stat1a  ap1m2  opa1"
34,"Membrane "," ATP6V0E1  b3gnt2b  cx39.4  nsg2  si:dkey-27j5.5  pex13  slc24a1  or108-3  lpar1  marveld1  antxr1d  kcnab2a  cacna1c  tspan2a  slc5a8l  slc16a1a  mxra8a  cyb561  slc7a11  pcdh18b  RHBDF2  atp11c  evpla  epcam  uvrag  P2RY4  ormdl3  igdcc4  scamp5b  slc1a7b  SLCO3A1  gnrhr2  ap1m2  S1PR5"
29,"Organelle "," bnip1b  rab11a  pex13  sox9a  papolg  sync  mylipa  actr3  cpsf6  skib  ep300b  acox1  ten1  evpla  polg2  plekhh2  clasp1a  ormdl3  MYO1D  faap100  TUBA4A  tuba8l3  ptprna  katnb1  ahr2  NAB1  stat1a  opa1"
29,"Intracellular organelle "," bnip1b  rab11a  pex13  sox9a  papolg  sync  mylipa  actr3  cpsf6  skib  ep300b  acox1  ten1  evpla  polg2  plekhh2  clasp1a  ormdl3  MYO1D  faap100  TUBA4A  tuba8l3  ptprna  katnb1  ahr2  NAB1  stat1a  opa1"
21,"Intrinsic component of membrane "," nsg2  pex13  slc24a1  or108-3  lpar1  antxr1d  kcnab2a  cacna1c  tspan2a  slc16a1a  mxra8a  cyb561  RHBDF2  atp11c  epcam  P2RY4  ormdl3  scamp5b  slc1a7b  gnrhr2  S1PR5"
19,"Membrane-bounded organelle "," bnip1b  rab11a  pex13  sox9a  papolg  cpsf6  skib  ep300b  acox1  ten1  polg2  ormdl3  faap100  ptprna  ahr2  NAB1  stat1a  opa1"
18,"Protein-containing complex "," ATP6V0E1  cx39.4  actr3  cct2  cpsf6  cacna1c  psma3  ep300b  ten1  srp68  uvrag  cdk5r1b  MYO1D  faap100  katnb1  ap1m2  keap1b  mier1a"
11,"Non-membrane-bounded organelle "," sync  mylipa  actr3  ten1  evpla  plekhh2  clasp1a  MYO1D  TUBA4A  tuba8l3  katnb1"
10,"Extracellular region "," stc2b  edn1  pomcb  tshba  adm2a  f9a  wnt11  inhbb  cxcl14  wnt3"
7,"Plasma membrane "," cx39.4  cacna1c  slc16a1a  pcdh18b  evpla  epcam  igdcc4"
7,"Cell periphery "," cx39.4  cacna1c  slc16a1a  pcdh18b  evpla  epcam  igdcc4"
5,"Membrane protein complex "," ATP6V0E1  cx39.4  cacna1c  uvrag  ap1m2"
4,"Supramolecular fiber "," sync  clasp1a  TUBA4A  tuba8l3"
4,"Endomembrane system "," bnip1b  rab11a  ormdl3  ptprna"
4,"Polymeric cytoskeletal fiber "," sync  clasp1a  TUBA4A  tuba8l3"
1,"Cell junction "," cx39.4"
1,"Membrane-enclosed lumen "," ep300b"
1,"Endoplasmic reticulum membrane "," ormdl3"
1,"Cell-cell junction "," cx39.4"
1,"Extrinsic component of membrane "," uvrag"
1,"Organelle membrane "," ormdl3"
1,"Protein-DNA complex "," ten1"
1,"Nuclear outer membrane-endoplasmic reticulum membrane network "," ormdl3"
1,"Organelle lumen "," ep300b"
1,"Basal part of cell "," epcam"
1,"Coated membrane "," ap1m2"
1,"Anchoring junction "," cx39.4"
1,"Plasma membrane region "," epcam"
1,"Ribonucleoprotein complex "," srp68"
