"Sample","Population.Year","Year.Collected","pop","maprate"
"0321_BC17","BC17",2017,"BC",97.51
"0322_BC17","BC17",2017,"BC",97.84
"0323_BC17","BC17",2017,"BC",97.66
"0324_BC17","BC17",2017,"BC",97.66
"0325_BC17","BC17",2017,"BC",97.33
"0326_BC17","BC17",2017,"BC",97.53
"0327_BC17","BC17",2017,"BC",97.5
"0328_BC17","BC17",2017,"BC",97.5
"0369_BC17","BC17",2017,"BC",97.81
"0370_BC17","BC17",2017,"BC",98.01
"0371_BC17","BC17",2017,"BC",97.96
"0372_BC17","BC17",2017,"BC",98.21
"0373_BC17","BC17",2017,"BC",97.79
"0374_BC17","BC17",2017,"BC",97.4
"0375_BC17","BC17",2017,"BC",97.63
"0376_BC17","BC17",2017,"BC",97.8
"0377_BC17","BC17",2017,"BC",97.81
"0378_BC17","BC17",2017,"BC",97.69
"0379_BC17","BC17",2017,"BC",97.53
"0380_BC17","BC17",2017,"BC",97.88
"0381_BC17","BC17",2017,"BC",97.94
"0382_BC17","BC17",2017,"BC",97.66
"0383_BC17","BC17",2017,"BC",97.86
"0384_BC17","BC17",2017,"BC",97.83
"0401_BC17","BC17",2017,"BC",97.7
"0402_BC17","BC17",2017,"BC",97.54
"0403_BC17","BC17",2017,"BC",98.09
"0404_BC17","BC17",2017,"BC",97.72
"0405_BC17","BC17",2017,"BC",97.72
"0406_BC17","BC17",2017,"BC",97.68
"0407_BC17","BC17",2017,"BC",97.61
"0408_BC17","BC17",2017,"BC",97.98
"0497_BC17","BC17",2017,"BC",97.48
"0498_BC17","BC17",2017,"BC",97.61
"0499_BC17","BC17",2017,"BC",97.69
"0500_BC17","BC17",2017,"BC",97.35
"0501_BC17","BC17",2017,"BC",97.6
"0502_BC17","BC17",2017,"BC",97.63
"0503_BC17","BC17",2017,"BC",97.82
"0504_BC17","BC17",2017,"BC",97.64
"0569_BC17","BC17",2017,"BC",97.64
"0570_BC17","BC17",2017,"BC",97.81
"0571_BC17","BC17",2017,"BC",97.7
"0572_BC17","BC17",2017,"BC",97.46
"0573_BC17","BC17",2017,"BC",97.61
"0574_BC17","BC17",2017,"BC",97.57
"0575_BC17","BC17",2017,"BC",97.73
"0576_BC17","BC17",2017,"BC",97.6
"0737_BC17","BC17",2017,"BC",97.93
"0738_BC17","BC17",2017,"BC",97.63
"0739_BC17","BC17",2017,"BC",97.76
"0740_BC17","BC17",2017,"BC",97.93
"0741_BC17","BC17",2017,"BC",98
"0742_BC17","BC17",2017,"BC",97.77
"0743_BC17","BC17",2017,"BC",97.6
"0744_BC17","BC17",2017,"BC",97.7
"1097_BC17","BC17",2017,"BC",97.8
"1098_BC17","BC17",2017,"BC",97.66
"1099_BC17","BC17",2017,"BC",97.9
"1100_BC17","BC17",2017,"BC",97.64
"1101_BC17","BC17",2017,"BC",97.7
"1102_BC17","BC17",2017,"BC",97.71
"1103_BC17","BC17",2017,"BC",97.89
"1104_BC17","BC17",2017,"BC",97.58
"0545_CA17","CA17",2017,"CA",97.52
"0546_CA17","CA17",2017,"CA",97.44
"0547_CA17","CA17",2017,"CA",97.45
"0548_CA17","CA17",2017,"CA",97.35
"0549_CA17","CA17",2017,"CA",97.65
"0550_CA17","CA17",2017,"CA",97.53
"0551_CA17","CA17",2017,"CA",97.19
"0552_CA17","CA17",2017,"CA",97.23
"0681_CA17","CA17",2017,"CA",97.54
"0682_CA17","CA17",2017,"CA",96.87
"0683_CA17","CA17",2017,"CA",97.28
"0684_CA17","CA17",2017,"CA",96.89
"0685_CA17","CA17",2017,"CA",97.04
"0686_CA17","CA17",2017,"CA",97.02
"0687_CA17","CA17",2017,"CA",97.09
"0688_CA17","CA17",2017,"CA",97.26
"0769_CA17","CA17",2017,"CA",97.84
"0771_CA17","CA17",2017,"CA",98.22
"0772_CA17","CA17",2017,"CA",97.67
"0773_CA17","CA17",2017,"CA",97.53
"0774_CA17","CA17",2017,"CA",97.46
"0775_CA17","CA17",2017,"CA",97.78
"0776_CA17","CA17",2017,"CA",97.6
"0825_CA17","CA17",2017,"CA",97.83
"0826_CA17","CA17",2017,"CA",97.91
"0827_CA17","CA17",2017,"CA",98.19
"0828_CA17","CA17",2017,"CA",97.81
"0829_CA17","CA17",2017,"CA",97.43
"0830_CA17","CA17",2017,"CA",97.38
"0832_CA17","CA17",2017,"CA",97.13
"0841_CA17","CA17",2017,"CA",97.02
"0842_CA17","CA17",2017,"CA",97.35
"0843_CA17","CA17",2017,"CA",96.99
"0844_CA17","CA17",2017,"CA",97.49
"0845_CA17","CA17",2017,"CA",96.61
"0846_CA17","CA17",2017,"CA",96.97
"0847_CA17","CA17",2017,"CA",96.64
"0848_CA17","CA17",2017,"CA",97.21
"0913_CA17","CA17",2017,"CA",97.37
"0914_CA17","CA17",2017,"CA",97.42
"0915_CA17","CA17",2017,"CA",97.57
"0916_CA17","CA17",2017,"CA",97.58
"0917_CA17","CA17",2017,"CA",97.32
"0918_CA17","CA17",2017,"CA",97.7
"0919_CA17","CA17",2017,"CA",97.16
"0920_CA17","CA17",2017,"CA",96.34
