,0,1,2
0,-0.0009104921494278364,0.0012854259899043952,-0.001081271038356326
1,0.0012854259899043952,-0.0013945870734913138,7.651839355819486e-05
2,-0.001081271038356326,7.651839355819486e-05,0.0007598143841564802
0,var(PWS: 1996-1991),"cov(PWS: 1996-1991, PWS: 2006-1996)","cov(PWS: 1996-1991, PWS: 2017-2006)"
1,"cov(PWS: 2006-1996, PWS: 1996-1991)",var(PWS: 2006-1996),"cov(PWS: 2006-1996, PWS: 2017-2006)"
2,"cov(PWS: 2017-2006, PWS: 1996-1991)","cov(PWS: 2017-2006, PWS: 2006-1996)",var(PWS: 2017-2006)
