,0,1,2
0,0.02469630833585765,-0.009940915957961425,-0.0010443419819936798
1,-0.009940915957961425,0.027608117965161764,-0.018068419977075756
2,-0.0010443419819936798,-0.018068419977075756,0.031697277748321054
0,var(PWS: 1996-1991),"cov(PWS: 1996-1991, PWS: 2006-1996)","cov(PWS: 1996-1991, PWS: 2017-2006)"
1,"cov(PWS: 2006-1996, PWS: 1996-1991)",var(PWS: 2006-1996),"cov(PWS: 2006-1996, PWS: 2017-2006)"
2,"cov(PWS: 2017-2006, PWS: 1996-1991)","cov(PWS: 2017-2006, PWS: 2006-1996)",var(PWS: 2017-2006)
