,0,1,2
0,0.0003038049289858109,0.0007201447397347396,-0.0010305388951143653
1,0.0007201447397347396,0.00011931829349445422,-0.0009004963113353779
2,-0.0010305388951143653,-0.0009004963113353779,0.0023113590349288283
0,var(PWS: 1996-1991),"cov(PWS: 1996-1991, PWS: 2006-1996)","cov(PWS: 1996-1991, PWS: 2017-2006)"
1,"cov(PWS: 2006-1996, PWS: 1996-1991)",var(PWS: 2006-1996),"cov(PWS: 2006-1996, PWS: 2017-2006)"
2,"cov(PWS: 2017-2006, PWS: 1996-1991)","cov(PWS: 2017-2006, PWS: 2006-1996)",var(PWS: 2017-2006)
