"pop.yr1","pop.yr2","rawP","Bonferroni","BH","Holm","Hochberg","Hommel","BY","pop1","pop2","year1","year2"
"TB91","TB96",0.205,1,0.235,1,0.782,0.782,1,"TB","TB",1991,1996
"TB91","TB06",0.000000000000000000585,0.0000000000000000322,0.00000000000000000322,0.0000000000000000269,0.0000000000000000269,0.0000000000000000263,0.0000000000000000148,"TB","TB",1991,2006
"TB91","TB17",0.118,1,0.139,1,0.782,0.782,0.637,"TB","TB",1991,2017
"TB96","TB06",0.000000000000000999,0.000000000000055,0.00000000000000323,0.000000000000039,0.000000000000039,0.000000000000039,0.0000000000000148,"TB","TB",1996,2006
"TB96","TB17",0.00661,0.363,0.00932,0.112,0.112,0.0925,0.0428,"TB","TB",1996,2017
"TB06","TB17",0.000000000000000000000775,0.0000000000000000000426,0.0000000000000000000107,0.0000000000000000000403,0.0000000000000000000403,0.0000000000000000000403,0.000000000000000000049,"TB","TB",2006,2017
"PWS91","PWS96",0.782,1,0.782,1,0.782,0.782,1,"PWS","PWS",1991,1996
"PWS91","PWS07",0.00132,0.0726,0.0022,0.0303,0.0303,0.0277,0.0101,"PWS","PWS",1991,2006
"PWS91","PWS17",0.00416,0.229,0.00635,0.0831,0.0831,0.0665,0.0292,"PWS","PWS",1991,2017
"PWS96","PWS07",0.000294,0.0162,0.000522,0.00736,0.00736,0.00736,0.0024,"PWS","PWS",1996,2006
"PWS96","PWS17",0.00555,0.305,0.00803,0.0998,0.0998,0.0832,0.0369,"PWS","PWS",1996,2017
"PWS07","PWS17",0.0000000233,0.00000128,0.0000000534,0.000000745,0.000000745,0.000000745,0.000000245,"PWS","PWS",2006,2017
"SS96","SS06",0.0000107,0.000591,0.0000197,0.000279,0.000279,0.000279,0.0000905,"SS","SS",1996,2006
"SS96","SS17",0.576,1,0.621,1,0.782,0.782,1,"SS","SS",1996,2017
"SS06","SS17",0.00000371,0.000204,0.00000704,0.0001,0.0001,0.0001,0.0000324,"SS","SS",2006,2017
"TB91","PWS91",0.00000000000000000369,0.000000000000000203,0.0000000000000000169,0.000000000000000162,0.000000000000000162,0.000000000000000162,0.0000000000000000777,"TB","PWS",1991,1991
"TB96","PWS96",0.000000000000000423,0.0000000000000233,0.00000000000000155,0.0000000000000174,0.0000000000000174,0.0000000000000169,0.00000000000000713,"TB","PWS",1996,1996
"TB96","SS96",0.00000000000518,0.000000000285,0.0000000000136,0.000000000181,0.000000000181,0.000000000181,0.0000000000624,"TB","SS",1996,1996
"TB06","PWS07",0.00462,0.254,0.00687,0.0879,0.0879,0.0694,0.0316,"TB","PWS",2006,2006
"TB06","SS06",0.0253,1,0.0317,0.304,0.304,0.271,0.145,"TB","SS",2006,2006
"TB17","PWS17",0.000000000000381,0.0000000000209,0.0000000000011,0.0000000000141,0.0000000000141,0.0000000000141,0.00000000000506,"TB","PWS",2017,2017
"TB17","SS17",0.000000000000000625,0.0000000000000344,0.00000000000000215,0.000000000000025,0.000000000000025,0.0000000000000244,0.00000000000000987,"TB","SS",2017,2017
"PWS96","SS96",0.0493,1,0.0589,0.493,0.493,0.493,0.271,"PWS","SS",1996,1996
"PWS07","SS06",0.686,1,0.699,1,0.782,0.782,1,"PWS","SS",2006,2006
"PWS17","SS17",0.599,1,0.634,1,0.782,0.782,1,"PWS","SS",2017,2017
