"","pop1","pop2","Ne","median","mean","CI.low","CI.up"
"1","91","96",94.8717086859935,94.7836064505143,95.1446185212096,85.3826044560871,106.952769734329
"2","91","07",235.767098385372,235.848742930425,236.963538974169,209.168875116307,270.51443481375
"3","91","17",485.212752924617,485.419109577881,487.650290027659,412.689902672657,573.578016984301
"4","96","07",180.021145558135,179.832584956481,180.333558255056,158.589547478488,204.571696325609
"5","96","17",390.728792973246,390.378659733622,391.839805124983,336.587330347265,453.983928996195
"6","07","17",144.828677689965,144.924981973901,145.702644885829,127.625950796868,167.869124734215
