"","pop1","pop2","Ne","median","mean","CI.low","CI.up"
"1","91","96",123.01797966328,122.57197852717,123.040277751735,106.223924334871,142.93157531206
"2","91","07",284.990191349144,284.772270368058,286.823736805441,244.92821511272,343.229971308011
"3","91","17",698.964685755677,700.58624643223,705.276498726409,600.445858638028,834.787313639502
"4","96","07",193.102329113885,193.537289404986,194.207583600032,165.519256831932,229.3299304039
"5","96","17",484.824036100392,485.079788099903,487.498491633666,401.633716972859,603.398120863036
"6","07","17",162.205656065249,162.906439576591,164.762283747853,135.716616626281,201.76488301969
