"","methods","Ne01_t1","Ne12_t2","Ne23_t2"
"1","W.planI",24.6634316832202,40.7068542054085,44.335110549542
"2","W.planII",24.7636556293967,40.8440053698325,44.4830508119294
"3","JR.planI",19.6685080768754,31.3683349307271,33.7891804814838
"4","JR.planII",19.7326473987105,31.4505159105282,33.8759341217182
"5","P.planI",34.8212276765397,54.35752493651,57.9168065797427
"6","P.planII",35.0181032916177,54.5980507730501,58.1644082063252
"7","P.alt.1step.planII",20.147534812145,31.0353123391889,33.5946576919701
