"","Year","rep1","rep2","rep3","rep4","rep5","rep6","rep7","rep8","rep9","rep10","rep11","rep12","rep13","rep14","rep15","rep16","rep17","rep18","rep19","rep20","rep21","rep22","rep23","rep24","rep25","rep26","rep27","rep28","rep29","rep30","rep31","rep32","rep33","rep34","rep35","rep36","rep37","rep38","rep39","rep40","rep41","rep42","rep43","rep44","rep45","rep46","rep47","rep48","rep49","rep50","rep51","rep52","rep53","rep54","rep55","rep56","rep57","rep58","rep59","rep60","rep61","rep62","rep63","rep64","rep65","rep66","rep67","rep68","rep69","rep70","rep71","rep72","rep73","rep74","rep75","rep76","rep77","rep78","rep79","rep80","rep81","rep82","rep83","rep84","rep85","rep86","rep87","rep88","rep89","rep90","rep91","rep92","rep93","rep94","rep95","rep96","rep97","rep98","rep99","rep100"
"1","1991-1996",0.00569941129269536,0.00546957471069126,0.00565898695930793,0.00566789376482984,0.00589519817827763,0.00544776184298099,0.00570043621501979,0.00543994972264102,0.00551751770155589,0.00545893196531379,0.00552017660690498,0.00556436604257887,0.00577577953538471,0.00536810621226747,0.00556628499091741,0.00552758917790577,0.00572559179094894,0.00550586464849502,0.00569991310453706,0.005447407805917,0.00548462448839625,0.00549467806821639,0.00551562739939009,0.00558766334229718,0.00570167094285091,0.00567987144479418,0.00580034218280354,0.00545110220039607,0.00552696714948554,0.00565129808773432,0.00544411211497089,0.00568013182696475,0.00568755344039135,0.00535185259973028,0.00568575174338062,0.00547797081403852,0.005879250788279,0.00549881274467307,0.00544873901603431,0.00562436867489713,0.0055912866417682,0.0056789955084,0.00574631806797952,0.00558106644065794,0.0055048275332757,0.00585936494801041,0.00542444218500799,0.00565041300186057,0.00564078868229148,0.0055606745168171,0.00566968055967463,0.00571437768458235,0.00547103656976514,0.00550139325565045,0.00544355965763732,0.00578081371454584,0.00584198912302768,0.00548908276324854,0.00547678058486953,0.00557982009207877,0.00566269180456329,0.00548956605717163,0.00551855151681531,0.0054729509102351,0.00559340091787253,0.00544362282957315,0.00550063609894209,0.00540125215118975,0.00593867371932979,0.00550090537042656,0.00574906374127511,0.00564168972425894,0.00538742516902527,0.0056844097254363,0.00564493198936248,0.00561441832643274,0.00555501283025457,0.00562540305003568,0.0054830988088133,0.00565319567205384,0.00561447602369508,0.00574256830837249,0.00551118868741164,0.00558153218544616,0.00571365814979969,0.00562852636274282,0.00551209147348735,0.00545763792276392,0.00544767346569366,0.00554624563971208,0.00551322629193771,0.00551747821075711,0.00552821940112306,0.00539460012703223,0.00574175882374792,0.00566561350309219,0.00562823010167181,0.00574484519911338,0.00559528313748544,0.005682705292367
"2","1996-2006",0.00635819236669622,0.0066477383234707,0.00644369899313302,0.00660437832238313,0.00612874359538726,0.0062053900665488,0.00647158410585111,0.00644557461024201,0.00614506931492585,0.00622354449706237,0.00626438486888185,0.0065093178697497,0.006222234111294,0.00645114865501685,0.0061215530126823,0.00619226927474412,0.00618670950482644,0.00619034305234438,0.0064229592156075,0.00627503129792576,0.00625013311637332,0.00659495475491997,0.00644550108172446,0.0061916619025375,0.00651283656279369,0.00635037868403372,0.00609047490713596,0.00630284038079642,0.00634474973413355,0.00628733486131047,0.00655506266304813,0.00692296298887642,0.0064799988037189,0.00644479669775819,0.00651645054096572,0.00627306899325185,0.00621744237106153,0.00635427094829588,0.00625784778674355,0.00616458501347517,0.00622461019514802,0.00606470386134618,0.00626260361511559,0.00633746196005999,0.00610908053430774,0.0062925217331752,0.00620617534690562,0.00646767927241082,0.00621143820891295,0.00613748193931991,0.00611013906867035,0.00649327557792135,0.00615786192559301,0.006424276028196,0.00628989787873963,0.00637272276031935,0.0062952303836745,0.00611367557991738,0.00622783949324895,0.00637635069121128,0.0060406728587663,0.00662253407100371,0.0061730957496645,0.00629100324352405,0.00595879342056408,0.00629000979923082,0.0062947660129494,0.00648116629315705,0.00626674871373008,0.00654076685980594,0.00620481382075305,0.00612061359143816,0.00619868730429399,0.00611826975918179,0.00629842960184022,0.00637645263030316,0.00647842087227018,0.00650853596959577,0.0065622322267795,0.00630389133771193,0.00623753568780799,0.00639514538014309,0.0061327347338006,0.00626190221776819,0.0065954090453885,0.00640080903281465,0.00612725910012383,0.00627639339321584,0.00606699475134805,0.00615636226212304,0.00629510449175797,0.00635947295827282,0.00632896603866357,0.00638456901408174,0.00627661091036959,0.00618534586510377,0.00639525608217169,0.00648118754627318,0.00657208571600609,0.00606625681388894
"3","2006-2017",0.00762356268937793,0.00778689205945451,0.00780133424501477,0.00744974221194838,0.00766012193397322,0.00778145474043049,0.00787247570668519,0.00803825129924153,0.00756141524164824,0.00772211887086667,0.00755334180307177,0.00773839799412303,0.00760466438666776,0.00784178489041552,0.00766054233115408,0.00785215540714144,0.00756276313679284,0.0076053325776348,0.00788211136446431,0.00780514033960057,0.00770256502252105,0.00771390400248906,0.00757857458407016,0.00767675416119429,0.00783491277010032,0.00769882773613182,0.00755123749810921,0.00777477041417864,0.00778983130809876,0.00772953311226459,0.00758388733402638,0.00749051198060951,0.00769708521892269,0.00757413408007113,0.00778794175916481,0.00760075609233932,0.0080708354024085,0.00767720303192621,0.00806305646722212,0.00769143890459947,0.00762245815518126,0.0076928819352632,0.00767332472887739,0.0076586759669316,0.0077603046144313,0.00757373590313778,0.00760650274859278,0.00769047342577355,0.00773636030547139,0.00738489734812207,0.00786244978460376,0.00778251770878872,0.00770880366761798,0.00764829001542573,0.00753373957626973,0.00745543092326994,0.0076365744079075,0.00781036188012262,0.00789150971105825,0.00773777478329817,0.00747482741756089,0.00765006882164472,0.00818245111724324,0.00780096421244761,0.00786806305344447,0.00766828917045321,0.00826333775444498,0.00760217901760321,0.00742097512689763,0.00795289827336187,0.00795719709704842,0.00778009906717575,0.00789490219602748,0.0077402852622235,0.00772574360100244,0.00787254145972894,0.00801837533504678,0.00787845701321566,0.00764476493266018,0.00754434523352571,0.00730295086112904,0.00792279882229866,0.00742220663697144,0.00754632747983862,0.00761632814595016,0.0078770970429349,0.007958448863567,0.00763683756206526,0.00778378731894503,0.00799742580673608,0.00746791919006829,0.00749795109757697,0.00772002106486784,0.0080130242588939,0.00771491182456185,0.00765639205261727,0.00770545565997057,0.0075501452007583,0.00758504047331211,0.00756469663042767
